Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
Channel Islands	50384	0	143	0	47633	0	2608	0	285437	810	1207943	6843288	176515	Europe	4	1234	0	0.0	0.0	14775
Gabon	47534	0	303	0	46155	0	1076	1	20555	131	1569625	678734	2312576	Africa	49	7632	1	0.0	0.0	465
Papua New Guinea	41038	0	638	0	38856	0	1544	7	4447	69	249149	27001	9227358	Australia/Oceania	225	14463	37	0.0	0.0	167
Seychelles	39181	0	160	0	38481	0	540	0	394354	1610	0	0	99355	Africa	3	621	0	0.0	0.0	5435
Curaçao	38933	0	261	0	38352	0	320	3	235666	1580	492011	2978203	165204	North America	4	633	0	0.0	0.0	1937
Burundi	38063	0	38	0	773	0	37252	0	3051	3	345742	27712	12476142	Africa	328	328320	36	0.0	0.0	2986
Andorra	37999	0	151	0	37135	0	713	14	490500	1949	249838	3224965	77470	Europe	2	513	0	0.0	0.0	9204
Togo	36798	0	272	0	36410	0	116	0	4279	32	689248	80149	8599568	Africa	234	31616	12	0.0	0.0	13
Mayotte	36662	0	187	0	2964	0	33511	0	129229	659	176919	623615	283699	Africa	8	1517	2	0.0	0.0	118122
Guinea	36393	0	440	0	32939	0	3014	49	2652	32	587607	42823	13721693	Africa	377	31186	23	0.0	0.0	220
Faeroe Islands	34237	0	28	0	7693	0	26516	5	696299	569	778000	15822656	49170	Europe	1	1756	0	0.0	0.0	539272
Aruba	33676	0	211	0	33406	0	59	6	313218	1962	177885	1654498	107516	North America	3	510	1	0.0	0.0	549
Tanzania	33620	0	798	0	0	0	0	7	538	13	0	0	62546742	Africa	1860	78379	0	0.0	0.0	522
Bahamas	33129	0	771	0	26221	0	6137	9	82934	1930	220066	550905	399463	North America	12	518	2	0.0	0.0	15363
Lesotho	32612	0	696	0	23343	0	8573	0	15026	321	398053	183404	2170356	Africa	67	3118	5	0.0	0.0	3950
Mauritius	30858	0	786	0	27008	0	3064	0	24197	616	358675	281256	1275261	Africa	41	1622	4	0.0	0.0	2403
Mali	30378	0	722	0	29470	0	186	0	1432	34	620934	29269	21215000	Africa	698	29384	34	0.0	0.0	9
Haiti	30342	0	820	0	25210	0	4312	0	2608	70	132422	11384	11632543	North America	383	14186	88	0.0	0.0	371
Benin	26567	0	163	0	25506	0	898	5	2100	13	604310	47778	12648180	Africa	476	77596	21	0.0	0.0	71
Somalia	26313	0	1348	0	13182	0	11783	0	1583	81	400466	24086	16626216	Africa	632	12334	42	0.0	0.0	709
Congo	23967	0	378	0	20178	0	3411	0	4174	66	347815	60567	5742662	Africa	240	15192	17	0.0	0.0	594
Timor-Leste	22693	25	128	0	22140	132	425	9	16686	94	248770	182922	1359981	Asia	60	10625	5	18.0	0.0	313
